subtopic,birthYear,avgYear,totalVolume
AI for Science,2011,2015.490322581,155
Deep RL,2011,2018.131748804,13169
Ethics & Interpretability,2011,2019.253164557,316
Generative Media,2011,2018.586688015,4372
Graph Learning,2011,2019.454623288,2336
LLMs & Attention,2011,2017.443218469,5891
Neural Rendering (NeRF),2011,2016.230142566,1473
Privacy-Preserving AI,2011,2018.44386423,2298
