subtopic,birthYear,avgYear,totalVolume
AI for Science,2021,2023.595041322,363
Deep RL,2021,2023.356542407,39970
Ethics & Interpretability,2021,2023.768014515,3858
Generative Media,2021,2023.709804148,17309
Graph Learning,2021,2023.379140579,18687
LLMs & Attention,2021,2024.123860967,109413
Neural Rendering (NeRF),2021,2023.483926805,4044
Privacy-Preserving AI,2021,2023.547673099,21144
