venue,papers
J. Comput. Sci. Coll.,167
AI Ethics,165
Comput. J.,165
IEEE Trans. Inf. Forensics Secur.,165
IEEE Trans. Big Data,165
IEEE Netw.,164
IEEE Trans Autom. Sci. Eng.,163
Int. J. Inf. Commun. Technol.,163
Int. J. Syst. Assur. Eng. Manag.,160
Intell. Syst. Appl.,160
Patterns,160
IEEE Trans. Netw. Sci. Eng.,159
Int. J. Interact. Mob. Technol.,159
Int. J. Comput. Appl. Technol.,156
IEEE Trans. Emerg. Top. Comput. Intell.,155
J. Intell. Syst.,155
Trans. Emerg. Telecommun. Technol.,155
Syst.,155
Biol. Cybern.,154
Frontiers Neuroinformatics,154
Frontiers Neurorobotics,154
Frontiers Digit. Health,153
IEEE Trans. Netw. Serv. Manag.,153
IEEE Trans. Cogn. Commun. Netw.,153
Eng. Comput.,152
Digit. Signal Process.,151
IEEE Signal Process. Mag.,151
Int. J. Prod. Res.,150
IEEE Trans. Commun.,149
Complex Intell. Syst.,148
Wirel. Networks,148
Artif. Life Robotics,147
IEEE J. Sel. Areas Commun.,147
Frontiers Big Data,146
J. Sensors,145
J. Exp. Theor. Artif. Intell.,144
Autom. Control. Comput. Sci.,143
J. Comput. Appl. Math.,143
IEEE Trans. Comput. Soc. Syst.,142
IEEE Trans. Smart Grid,142
Autom.,139
IEEE Trans. Multim.,139
IEEE Trans. Aerosp. Electron. Syst.,138
IEEE Trans. Engineering Management,138
Turkish J. Electr. Eng. Comput. Sci.,138
SIGKDD Explor.,138
Robotica,136
Comput. Math. Appl.,135
Signal Process.,135
Multim. Syst.,135
Array,134
J. Parallel Distributed Comput.,134
Int. J. Circuit Theory Appl.,133
Int. J. Interact. Multim. Artif. Intell.,133
Artif. Intell.,132
Intell. Data Anal.,132
J. Intell. Robotic Syst.,132
IEEE Trans. Very Large Scale Integr. Syst.,131
J. Netw. Comput. Appl.,131
Secur. Commun. Networks,131
J. Chem. Inf. Comput. Sci.,130
Trans. Inst. Meas. Control,130
Comput. Hum. Behav.,127
Syst. Comput. Jpn.,127
Comput. Oper. Res.,125
Big Data Res.,125
Int. J. Inf. Manag.,125
IEICE Trans. Fundam. Electron. Commun. Comput. Sci.,124
Int. J. Comput. Intell. Appl.,124
J. Open Source Softw.,123
Proc. IEEE,122
Nat. Comput. Sci.,122
Frontiers Comput. Sci.,121
WIREs Data Mining Knowl. Discov.,121
J. Comput. Civ. Eng.,120
J. Signal Process. Syst.,120
Sustain. Comput. Informatics Syst.,120
IEEE Trans. Dependable Secur. Comput.,119
Appl. Comput. Intell. Soft Comput.,118
BioData Min.,118
Nat. Mac. Intell.,118
Comput. Educ. Artif. Intell.,117
IEEE Trans. Mob. Comput.,116
ICT Express,116
Int. J. Speech Technol.,116
Comput. methods Biomech. Biomed. Eng. Imaging Vis.,115
Evol. Syst.,115
Computing,115
Scientometrics,115
Int. J. Digit. Earth,114
Int. J. Hum. Comput. Interact.,114
J. Syst. Archit.,114
J. Real Time Image Process.,114
Soc. Netw. Anal. Min.,114
Axioms,113
IEEE Open J. Commun. Soc.,113
Netw. Model. Anal. Health Informatics Bioinform.,113
J. Syst. Softw.,112
Comput. Ind.,111
EURASIP J. Wirel. Commun. Netw.,111
Int. J. Distributed Sens. Networks,111
IEEE Wirel. Commun.,111
Phys. Commun.,111
J. Comput.,110
Int. J. Image Graph.,110
Mach. Vis. Appl.,110
Int. J. Geogr. Inf. Sci.,109
SoftwareX,109
Entertain. Comput.,108
Comput. Math. Methods Medicine,108
Connect. Sci.,108
Cybern. Syst.,108
IEEE J. Solid State Circuits,108
Informatics,108
IEEE Intell. Syst.,108
ACM Trans. Asian Low Resour. Lang. Inf. Process.,107
Comput. Phys. Commun.,107
Inf. Softw. Technol.,107
IT Prof.,107
IEEE Trans. Vis. Comput. Graph.,106
J. Comput. Sci. Technol.,106
Künstliche Intell.,106
IEEE J. Sel. Top. Signal Process.,105
Inf. Syst. Frontiers,105
Int. J. Perform. Eng.,105
Robotics Auton. Syst.,105
Comput. Environ. Urban Syst.,104
IEEE J. Emerg. Sel. Topics Circuits Syst.,104
Int. J. Comput. Commun. Control,104
Health Inf. Sci. Syst.,102
IEEE Syst. J.,102
Signal Process. Image Commun.,102
Neural Parallel Sci. Comput.,102
Quantum Mach. Intell.,101
EURASIP J. Adv. Signal Process.,99
CAAI Trans. Intell. Technol.,99
IEEE Trans. Cogn. Dev. Syst.,99
J. Comput. Inf. Sci. Eng.,99
Int. J. Fuzzy Log. Intell. Syst.,99
Discov. Comput.,98
IEEE Trans. Emerg. Top. Comput.,98
Int. J. Comput. Math.,98
J. Wirel. Mob. Networks Ubiquitous Comput. Dependable Appl.,98
EAI Endorsed Trans. Pervasive Health Technol.,97
Res. Comput. Sci.,97
Ad Hoc Networks,96
Int. J. Bus. Intell. Data Min.,96
Frontiers Robotics AI,95
Int. J. Inf. Manag. Data Insights,95
ACM Trans. Embed. Comput. Syst.,94
J. Electr. Comput. Eng.,94
IET Commun.,93
J. Inf. Secur. Appl.,93
J. Comput. Aided Mol. Des.,93
J. Comput. Chem.,93
Iran J. Comput. Sci.,93
Internet Technol. Lett.,93
Pattern Anal. Appl.,93
Astron. Comput.,92
Health Informatics J.,92
Int. J. Comput.,92
IEEE Commun. Surv. Tutorials,92
Int. J. Inf. Technol. Syst. Approach,92
J. Inf. Sci. Eng.,92
Empir. Softw. Eng.,91
Data Min. Knowl. Discov.,90
Traitement du Signal,90
Simul. Model. Pract. Theory,90
Int. J. Model. Identif. Control.,89
J. Univers. Comput. Sci.,89
Knowl. Eng. Rev.,88
IEEE Micro,87
SIAM J. Sci. Comput.,87
Data,86
Comput. Sci. Inf. Syst.,86
ACM Trans. Softw. Eng. Methodol.,86
Int. J. Comput. Sci. Eng.,86
J. Comput. Des. Eng.,86
IEEE Trans. Serv. Comput.,85
ACM J. Emerg. Technol. Comput. Syst.,84
ACM Trans. Multim. Comput. Commun. Appl.,84
J. Inf. Knowl. Manag.,84
J. Organ. End User Comput.,84
Cogn. Syst. Res.,83
J. Inf. Process. Syst.,83
Interact. Learn. Environ.,83
Int. J. Model. Simul. Sci. Comput.,83
Minds Mach.,82
Kybernetes,82
Computación y Sistemas,81
Trans. GIS,81
ACM Trans. Intell. Syst. Technol.,80
ACM Trans. Knowl. Discov. Data,80
IEEE Trans. Reliab.,80
Int. J. Comb. Optim. Probl. Informatics,80
J. Cloud Comput.,80
Int. J. Fuzzy Syst.,80
Integr.,80
Pers. Ubiquitous Comput.,80
Adv. Artif. Intell. Mach. Learn.,79
Comput. Sci. Rev.,79
Int. J. Comput. Integr. Manuf.,79
J. Intell. Inf. Syst.,79
Intell. Syst. Account. Finance Manag.,79
Rev. d'Intelligence Artif.,79
EAI Endorsed Trans. Scalable Inf. Syst.,78
Data Knowl. Eng.,78
Int. J. Wirel. Mob. Comput.,77
Int. J. Medical Eng. Informatics,77
Artif. Intell. Eng. Des. Anal. Manuf.,76
Frontiers Inf. Technol. Electron. Eng.,76
J. Grid Comput.,76
Int. J. Uncertain. Fuzziness Knowl. Based Syst.,76
Softw. Pract. Exp.,76
Comput. Speech Lang.,75
Int. J. Comput. Vis.,75
IEEE CAA J. Autom. Sinica,75
J. Appl. Math.,75
Comput. Vis. Image Underst.,74
J. Glob. Inf. Manag.,74
IEEE Trans. Control. Syst. Technol.,73
IEEE Trans. Software Eng.,73
Inf. Technol. Control.,73
Int. J. Inf. Sec.,73
J. Ind. Inf. Integr.,73
Microelectron. J.,73
Math. Comput. Model.,73
Enterp. Inf. Syst.,72
Inf. Manag.,72
Int. J. Approx. Reason.,72
Int. J. Reason. based Intell. Syst.,72
ACM Trans. Design Autom. Electr. Syst.,71
AI Commun.,71
J. Enterp. Inf. Manag.,71
Big Data Min. Anal.,70
Speech Commun.,70
Quantum Inf. Process.,70
Comput. Appl. Math.,69
IEEE Trans. Autom. Control.,69
Int. J. Softw. Eng. Knowl. Eng.,69
Int. J. Inf. Technol. Decis. Mak.,69
J. Robotics Mechatronics,69
Computación y Sistemas (CyS),68
Ind. Manag. Data Syst.,68
IEEE Comput. Intell. Mag.,68
Int. J. Data Min. Bioinform.,68
Inteligencia Artif.,68
J. Sci. Comput.,68
Qual. Reliab. Eng. Int.,68
Displays,67
IEEE Trans. Comput. Biol. Bioinform.,67
J. Syst. Control. Eng.,67
IEEE Trans. Syst. Man Cybern.,66
IEEE Control. Syst. Lett.,66
Int. J. Autom. Comput.,66
J. Comput. Soc. Sci.,66
Neuroinformatics,66
Peer Peer Netw. Appl.,66
Digit. Commun. Networks,64
Comput. Informatics,64
IEEE Trans. Cloud Comput.,64
Int. J. Bioinform. Res. Appl.,64
J. Artif. Intell. Res.,64
IEEE Des. Test,63
Gov. Inf. Q.,63
Neuromorph. Comput. Eng.,63
Brain Informatics,62
Energy Inform.,62
Frontiers Bioinform.,62
IEEE Trans. Biomed. Circuits Syst.,62
Int. J. Appl. Math. Comput. Sci.,61
Int. J. e Collab.,61
Int. J. Bus. Inf. Syst.,60
IEEE Internet Things Mag.,60
Int. J. Cogn. Informatics Nat. Intell.,60
Int. J. Intell. Syst. Technol. Appl.,60
Int. J. Hybrid Intell. Syst.,60
Int. J. Knowl. Based Intell. Eng. Syst.,60
J. Netw. Syst. Manag.,60
Int. J. Comput. Vis. Robotics,59
Int. J. Grid Util. Comput.,59
Int. J. Wavelets Multiresolution Inf. Process.,59
Int. J. Intell. Comput. Cybern.,59
J. Comput. Biol.,59
J. Softw.,59
Comput. Graph.,58
IEICE Electron. Express,58
Int. J. Data Anal. Tech. Strateg.,58
Int. J. Web Based Learn. Teach. Technol.,58
J. Oper. Res. Soc.,58
Nat.,58
Bus. Process. Manag. J.,57
Comput. Appl. Eng. Educ.,57
Int. J. Adv. Intell. Paradigms,57
IEEE Trans. Inf. Theory,57
Geo spatial Inf. Sci.,57
IEEE Trans. Computational Imaging,57
Telecommun. Syst.,57
Int. J. Ad Hoc Ubiquitous Comput.,56
IET Comput. Vis.,56
IEEE Trans. Evol. Comput.,56
J. Aerosp. Inf. Syst.,56
J. Mobile Multimedia,56
J. Internet Serv. Inf. Secur.,56
Stat. Anal. Data Min.,56
Prog. Artif. Intell.,56
Softw. Impacts,56
Int. J. Control,55
Integr. Comput. Aided Eng.,55
Nucleic Acids Res.,55
IEEE Trans. Intell. Veh.,54
Int. J. Artif. Intell. Educ.,54
Peer-to-Peer Netw. Appl.,54
J. Sens. Actuator Networks,54
Program. Comput. Softw.,54
ACM Trans. Archit. Code Optim.,53
EURASIP J. Audio Speech Music. Process.,53
Comput. Law Secur. Rev.,53
Biosyst.,53
Artif. Intell. Eng.,53
IEEE Trans. Affect. Comput.,53
Frontiers Appl. Math. Stat.,53
Int. J. Data Min. Model. Manag.,53
Int. J. Softw. Innov.,53
J. Artif. Intell. Soft Comput. Res.,53
Secur. Priv.,53
Commun. Assoc. Inf. Syst.,52
IEEE Trans. Syst. Man Cybern. Part C,51
Inf. Syst.,51
J. Assoc. Inf. Sci. Technol.,51
Robotics Comput. Integr. Manuf.,51
New Gener. Comput.,51
IEEE Internet Comput.,50
IEEE Consumer Electron. Mag.,50
Ingénierie des Systèmes d Inf.,50
Int. J. Sens. Networks,50
J. Comput. Neurosci.,50
Swarm Evol. Comput.,50
Parallel Comput.,50
Artif. Intell. Law,49
Adv. Robotics,49
Hum. Centric Intell. Syst.,49
J. Field Robotics,49
J. Bioinform. Comput. Biol.,49
J. Web Eng.,49
Comput. Educ.,48
Cyberpsychology Behav. Soc. Netw.,48
Comput. Stand. Interfaces,48
Comput. Graph. Forum,47
Autom. Softw. Eng.,47
IEEE Trans. Hum. Mach. Syst.,47
Int. J. Syst. Syst. Eng.,47
SIGART Newsl.,47
WIREs Data. Mining. Knowl. Discov.,47
Complex Syst.,46
Int. J. Biom.,46
Int. J. Intell. Inf. Technol.,46
J. Manag. Inf. Syst.,46
Technometrics,46
Simul.,46
Int. J. Data Warehous. Min.,45
IEICE Trans. Commun.,45
J. Interconnect. Networks,45
J. Inf. Hiding Multim. Signal Process.,45
Theor. Comput. Sci.,45
J. Theor. Appl. Electron. Commer. Res.,45
JOCN,45
Ethics Inf. Technol.,44
Adv. Artif. Neural Syst.,44
ACM Trans. Reconfigurable Technol. Syst.,44
IEEE Open J. Comput. Soc.,44
Int. J. Commun. Networks Inf. Secur.,44
J. Informetrics,44
J. Inf. Sci.,44
Telematics Informatics,44
Proc. Priv. Enhancing Technol.,44
XRDS,44
Data Technol. Appl.,43
Database J. Biol. Databases Curation,43
IEEE/ACM Trans. Netw.,43
IET Signal Process.,43
EAI Endorsed Trans. Energy Web,42
IEEE Softw.,42
IEEE Secur. Priv.,42
Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,42
Libr. Hi Tech,42
SIAM J. Math. Data Sci.,42
Log. J. IGPL,42
Data Sci. J.,41
Int. J. Electron. Secur. Digit. Forensics,41
