venue,papers
Eng. Lett.,19
Artif. Life,19
Cogn. Comput. Syst.,19
IET Networks,19
IEEE Cloud Comput.,19
Int. J. Cooperative Inf. Syst.,19
Int. J. Commun. Networks Distributed Syst.,19
Inf. Syst. Manag.,19
Int. J. Crit. Infrastructures,19
Int. J. Crit. Infrastructure Prot.,19
Inf. Secur. J. A Glob. Perspect.,19
Int. J. Comput. Sci. Appl.,19
IEEE Trans. Robotics,19
J. Inf. Technol.,19
Int. J. Sociotechnology Knowl. Dev.,19
Int. J. Pervasive Comput. Commun.,19
Int. J. Mob. Comput. Multim. Commun.,19
J. Am. Soc. Inf. Sci.,19
Int. J. Humanoid Robotics,19
Nat. Lang. Eng.,19
Rev. Socionetwork Strateg.,19
MIS Q.,19
Datenschutz und Datensicherheit,18
Comput. Animat. Virtual Worlds,18
Egypt. Comput. Sci. J.,18
CLEI Electron. J.,18
IEEE Trans. Robotics Autom.,18
Informatics Educ.,18
Int. J. Appl. Evol. Comput.,18
Int. J. Appl. Metaheuristic Comput.,18
J. Comput. Networks Commun.,18
J. Geogr. Syst.,18
ISC Int. J. Inf. Secur.,18
J. Inform. and Commun. Convergence Engineering,18
Microelectron. Reliab.,18
Optim. Methods Softw.,18
Digit. Humanit. Q.,17
Digit. Gov. Res. Pract.,17
Commun. Inf. Syst.,17
Comput. Manag. Sci.,17
Adv. Artif. Intell.,17
IEEE Open J. Circuits Syst.,17
Inf. Resour. Manag. J.,17
Int. J. Robotics Res.,17
Internet Res.,17
Int. J. Eng. Pedagog.,17
Interactions,17
Int. J. Inf. Syst. Supply Chain Manag.,17
J. Digit. Inf. Manag.,17
Int. J. Open Source Softw. Process.,17
J. Control. Decis.,17
J. Educ. Technol. Soc.,17
SIAM J. Appl. Dyn. Syst.,17
Nat. Comput.,17
Network,17
J. Optim. Theory Appl.,17
Multiagent Grid Syst.,17
DTRAP,16
Ann. UMCS Informatica,16
Data Inf. Manag.,16
Artif. Intell. Res.,16
IEEE Trans. Circuits Syst. Artif. Intell.,16
Int. J. Bus. Intell. Res.,16
IEEE Trans. Netw.,16
Hum. centric Comput. Inf. Sci.,16
Int. J. Artif. Intell. Mach. Learn.,16
Int. J. Inf. Syst. Serv. Sect.,16
Int. J. Networked Distributed Comput.,16
Int. J. Web Inf. Syst.,16
Int. J. Web Serv. Res.,16
Int. J. Serv. Sci. Manag. Eng. Technol.,16
Softw. Syst. Model.,16
Technol. Knowl. Learn.,16
Syst. Control. Lett.,16
Netw. Secur.,16
Virtual Real.,16
Period. Polytech. Electr. Eng. Comput. Sci.,16
RAIRO Oper. Res.,16
Rev. Iberoam. de Tecnol. del Aprendiz.,16
Australas. J. Inf. Syst.,15
BMC Syst. Biol.,15
Auton. Robots,15
ACM SIGOPS Oper. Syst. Rev.,15
ACM Trans. Spatial Algorithms Syst.,15
Datenbank-Spektrum,15
Digit. Libr. Perspect.,15
Adv. Data Anal. Classif.,15
Frontiers Commun. Networks,15
Int. J. Electron. Heal.,15
Int. J. Comput. Vis. Image Process.,15
Int. J. Appl. Pattern Recognit.,15
J. ICT Stand.,15
J. Convergence Inf. Technol.,15
J. Assoc. Inf. Syst.,15
Int. J. Soc. Robotics,15
J. Glob. Optim.,15
J. Uncertain Syst.,15
Proc. ACM Meas. Anal. Comput. Syst.,15
SIGIR Forum,15
SIGCAS Comput. Soc.,15
User Model. User Adapt. Interact.,15
Trans. Large Scale Data Knowl. Centered Syst.,15
Mark. Sci.,15
Supercomput. Front. Innov.,15
J. Opt. Commun. Netw.,15
ACM Trans. Cyber Phys. Syst.,14
EAI Endorsed Trans. Creative Technol.,14
ACM SIGCSE Bull.,14
ACM Trans. Comput. Hum. Interact.,14
Control. Intell. Syst.,14
Comput. und Recht,14
IEEE Trans. Biom. Behav. Identity Sci.,14
IFAC J. Syst. Control.,14
Int. J. Softw. Tools Technol. Transf.,14
J. Internet Serv. Appl.,14
Int. J. Man Mach. Stud.,14
Intell. Converged Networks,14
J. Comput. Secur.,14
Int. J. High Perform. Syst. Archit.,14
Softw. Test. Verification Reliab.,14
MIS Q. Executive,14
Learn. Publ.,14
Simul. Notes Eur.,14
Proc. ACM Softw. Eng.,14
Nat. Lang. Process. J.,14
Pac. Asia J. Assoc. Inf. Syst.,14
Parallel Process. Lett.,14
Univers. Access Inf. Soc.,14
SIAM Rev.,14
Ad Hoc Sens. Wirel. Networks,13
Adv. Fuzzy Syst.,13
AI Open,13
Comput. Vis. Media,13
EAI Endorsed Trans. Security Safety,13
Des. Autom. Embed. Syst.,13
ACM Queue,13
Decis. Sci.,13
Appl. Clin. Inform.,13
Aslib J. Inf. Manag.,13
Cryptogr.,13
ACM Trans. Priv. Secur.,13
Inf. Polity,13
IEEE Commun. Stand. Mag.,13
Frontiers Res. Metrics Anal.,13
IET Wirel. Sens. Syst.,13
Graph. Model.,13
ICCA J.,13
Int. J. Comput. Syst. Signals,13
IET Cyper-Phys. Syst.: Theory & Appl.,13
J. Cryptogr. Eng.,13
Int. J. Softw. Informatics,13
J. Inf. Commun. Ethics Soc.,13
Int. J. Knowl. Eng. Data Min.,13
J. Appl. Log.,13
J. Inf. Data Manag.,13
Int. J. Rough Sets Data Anal.,13
Int. J. Syst. Dyn. Appl.,13
Vis. Informatics,13
Perform. Evaluation,13
Mach. Intell. Res.,13
J. Soc. Comput.,13
Trans. Rough Sets,13
J. Softw. Eng. Appl.,13
Trans. Data Sci.,13
Proc. ACM Comput. Graph. Interact. Tech.,13
Paladyn J. Behav. Robotics,13
Softwaretechnik-Trends,13
EAI Endorsed Trans. Context aware Syst. Appl.,12
ACM SIGSPATIAL Special,12
ACM Trans. Web,12
Evol. Comput.,12
ACM Trans. Comput. Educ.,12
Brain Connect.,12
Auton. Intell. Syst.,12
IEEE Ann. Hist. Comput.,12
IEEE Intell. Informatics Bull.,12
IMA J. Math. Control. Inf.,12
Int. J. Strateg. Decis. Sci.,12
Int. J. High Perform. Comput. Netw.,12
J. Multim.,12
J. Inf. Syst.,12
J. Autom. Mob. Robotics Intell. Syst.,12
Int. J. Nat. Comput. Res.,12
Transp. Sci.,12
Wirtschaftsinf.,12
Res. Pract. Technol. Enhanc. Learn.,12
Optim. Lett.,12
Nano Commun. Networks,12
Unmanned Syst.,12
South Afr. Comput. J.,12
Lang. Resour. Evaluation,12
Comput. Humanit.,11
Digit. Appl. Archaeol. Cult. Heritage,11
AStA Wirtschafts und Sozialstatistisches Arch.,11
Annu. Rev. Control.,11
Int. J. Bus. Process. Integr. Manag.,11
Int. J. Comput. Their Appl.,11
Int. J. Cloud Appl. Comput.,11
IET Circuits Devices Syst.,11
Inf. Soc.,11
IET Comput. Digit. Tech.,11
Int. J. Multim. Data Eng. Manag.,11
Int. J. Inf. Syst. Soc. Chang.,11
J. Learn. Anal.,11
Int. J. Web Grid Serv.,11
Interact. Technol. Smart Educ.,11
J. Nonlinear Sci.,11
J. Biomed. Semant.,11
J. Documentation,11
Virtual Real. Intell. Hardw.,11
Real Time Syst.,11
Manuf. Serv. Oper. Manag.,11
SIAM J. Numer. Anal.,11
J. Vis. Lang. Comput.,11
J. Syst. Inf. Technol.,11
SIAM J. Appl. Math.,11
Eur. J. Inf. Syst.,10
Asia Pac. J. Oper. Res.,10
EAI Endorsed Trans. Cloud Syst.,10
Central Eur. J. Oper. Res.,10
Comput. Aided Geom. Des.,10
Comput. Artif. Intell.,10
FLAP,10
Comput. Math. Organ. Theory,10
IEEE Trans. Multi Scale Comput. Syst.,10
Int. J. Electron. Bus.,10
Found. Comput. Math.,10
Int. J. Arts Technol.,10
Int. J. Crowd Sci.,10
Found. Trends Mach. Learn.,10
Inroads,10
Int. J. Child Comput. Interact.,10
IEEE Trans. Control. Netw. Syst.,10
INFORMS J. Appl. Anal.,10
J. Artif. Soc. Soc. Simul.,10
Int. J. Technol. Hum. Interact.,10
Interfaces,10
Int. J. Simul. Process. Model.,10
J. Artif. Intell. Conscious.,10
Int. J. Inf. Acquis.,10
Internet Policy Rev.,10
J. Low Power Electron.,10
SIAM J. Optim.,10
SIAM/ASA J. Uncertain. Quantification,10
Online Soc. Networks Media,10
Online Inf. Rev.,10
J. Web Semant.,10
Synth.,10
New Math. Nat. Comput.,10
J. Ubiquitous Syst. Pervasive Networks,10
J. Strateg. Inf. Syst.,10
Theory Pract. Log. Program.,10
CCF Trans. Pervasive Comput. Interact.,9
Complex Syst. Informatics Model. Q.,9
ACM Trans. Auton. Adapt. Syst.,9
Appl. Netw. Sci.,9
ACM Trans. Model. Comput. Simul.,9
IET Quantum Commun.,9
Inf. Retr.,9
Hum. Factors,9
Found. Trends Signal Process.,9
Frontiers Virtual Real.,9
Int. J. Data Sci. Math. Sci.,9
J. Data-centric Mach. Learn. Res.,9
J. Intell. Learn. Syst. Appl.,9
J. Data Min. Digit. Humanit.,9
J. Hardw. Syst. Secur.,9
J. Comput. Lang.,9
Int. J. Enterp. Inf. Syst.,9
Int. J. Knowl. Eng. Soft Data Paradigms,9
Int. J. Knowl. Manag.,9
Int. J. Fuzzy Syst. Appl.,9
Int. J. Knowl. Syst. Sci.,9
Int. J. Oper. Res. Inf. Syst.,9
Int. J. Mob. Commun.,9
J. Approx. Theory,9
Int. J. Next Gener. Comput.,9
J. Zhejiang Univ. Sci. C,9
OR Spectr.,9
Sci. J. Riga Tech. Univ. Ser. Comput. Sci.,9
Math. Found. Comput.,9
Networks Heterog. Media,9
Trans. Recomm. Syst.,9
Trans. Mach. Learn. Data Min.,9
SIGARCH Comput. Archit. News,9
Trans. Comput. Sci.,9
Math. Program.,9
Multiscale Model. Simul.,9
R J.,9
Trans. Assoc. Comput. Linguistics,9
Eur. J. Law Technol.,8
Cyber Secur. Appl.,8
Comput. Music. J.,8
Electron. Gov. an Int. J.,8
ACM Trans. Internet Things,8
ACM Trans. Database Syst.,8
Int. J. Comput. Games Technol.,8
Int. J. Electron. Bus. Manag.,8
Int. J. Embed. Real Time Commun. Syst.,8
IEEE Trans. Acoust. Speech Signal Process.,8
Grey Syst. Theory Appl.,8
INFOR Inf. Syst. Oper. Res.,8
Int. J. E Bus. Res.,8
Int. J. Cyber Warf. Terror.,8
Int. J. Syst. Serv. Oriented Eng.,8
IPSJ Trans. Comput. Vis. Appl.,8
Int. J. Math. Math. Sci.,8
J. Data Semant.,8
J. Data Intell.,8
J. Data Inf. Sci.,8
J. Digit. Content Technol. its Appl.,8
Int. J. Interdiscip. Telecommun. Netw.,8
Int. J. Knowl. Based Organ.,8
Int. J. Gaming Comput. Mediat. Simulations,8
J. Multimodal User Interfaces,8
Int. J. Serv. Technol. Manag.,8
J. Complex Networks,8
Int. J. Recent Contributions Eng. Sci. IT,8
J. Classif.,8
Urban Inform.,8
Microprocessing and Microprogramming,8
J. Sci. Res.,8
Quantum Eng.,8
Quant. Sci. Stud.,8
Public Transp.,8
Forensic Sci. Int. Digit. Investig.,7
Datenbank Rundbr.,7
ACM Trans. Appl. Percept.,7
Electron. J. Inf. Syst. Dev. Ctries.,7
Discret. Appl. Math.,7
Adv. Hum. Comput. Interact.,7
Algorithmic Finance,7
Algorithms Mol. Biol.,7
Inf. Media Technol.,7
Int. J. Asian Bus. Inf. Manag.,7
IEEE Trans. Circuits Syst. I Fundam. Theory Appl.,7
IEEE Pervasive Comput.,7
Int. J. Big Data Intell. Appl.,7
IET Blockchain,7
Informing Sci. Int. J. an Emerg. Transdiscipl.,7
Inf. Comput.,7
Inf. Syst. J.,7
Inf. Vis.,7
Int. J. Technol. Manag.,7
Int. J. Mechatronics Autom.,7
Int. J. Netw. Comput.,7
J. Inf. Technol. Educ. Innov. Pract.,7
J. Inf. Technol. Educ. Res.,7
J. ICT Dev. Appl. Res.,7
Int. J. Learn. Technol.,7
Int. J. Learn. Anal. Artif. Intell. Educ.,7
Int. J. Knowl. Discov. Bioinform.,7
Int. J. Satell. Commun. Netw.,7
Int. J. Inf. Technol. Proj. Manag.,7
J. Interact. Syst.,7
Int. J. Found. Comput. Sci.,7
Internet High. Educ.,7
J. Libr. Inf. Sci.,7
J. Locat. Based Serv.,7
J. Medical Robotics Res.,7
SIGWEB Newsl.,7
J. Simulation,7
J. WSCG,7
WiPiEC Journal,7
J. Stat. Softw.,7
J. Organ. Comput. Electron. Commer.,7
Open J. Big Data,7
Prague Bull. Math. Linguistics,7
Revista Brasileira de Informática na Educ.,7
Comput. Optim. Appl.,6
ARIMA J.,6
4OR,6
ACM Trans. Comput. Syst.,6
Data Base,6
Adv. Bioinformatics,6
D Lib Mag.,6
e Informatica Softw. Eng. J.,6
Acta Cybern.,6
Int. J. Cyber Behav. Psychol. Learn.,6
Int. J. E Adopt.,6
GetMobile Mob. Comput. Commun.,6
Int. J. Adv. Comp. Techn.,6
Int. J. Adv. Media Commun.,6
Int. J. Electron. Gov. Res.,6
Int. J. Distance Educ. Technol.,6
Int. J. Digit. Libr.,6
Ind. Artif. Intell.,6
Int. J. Crit. Comput. Based Syst.,6
IEEE Trans. Auton. Ment. Dev.,6
Int. J. Artif. Life Res.,6
Intell.,6
Int. J. Math. Model. Numer. Optimisation,6
J. Digit. Forensics Secur. Law,6
Int. J. Mob. Learn. Organisation,6
Int. J. Strateg. Inf. Technol. Appl.,6
J. Adv. Eng. Comput.,6
J. Autom. Reason.,6
J. Log. Comput.,6
J. Control. Sci. Eng.,6
Int. J. Fog Comput.,6
Opt. Switch. Netw.,6
Polibits,6
Math. Oper. Res.,6
Numer. Algorithms,6
Russ. Digit. Libr. J.,6
Parallel Algorithms Appl.,6
SIAM J. Financial Math.,6
Silico Biol.,6
Trans. Comput. Collect. Intell.,6
Trans. Edutainment,6
World Sci. Annu. Rev. Artif. Intell.,6
Requir. Eng.,6
Discret. Math. Algorithms Appl.,5
Decis. Anal.,5
ACM Trans. Hum. Robot Interact.,5
Distributed Ledger Technol. Res. Pract.,5
Annu. Rev. Inf. Sci. Technol.,5
Annu. Rev. Control. Robotics Auton. Syst.,5
Elektrotech. Informationstechnik,5
AGIT Journal Angew. Geoinformatik,5
Electron. Commun. Eur. Assoc. Softw. Sci. Technol.,5
Cogn. Technol. Work.,5
Acta Numer.,5
EURASIP J. Embed. Syst.,5
ACM SIGACCESS Access. Comput.,5
Comput. Biomed. Res.,5
Comput. Commun. Rev.,5
ACM J. Comput. Sustain. Soc.,5
ACM Trans. Model. Perform. Evaluation Comput. Syst.,5
Comput. Math. Methods,5
Comput. Sci. Educ.,5
Comput. Support. Cooperative Work.,5
Formal Aspects Comput.,5
Frontiers Blockchain,5
Int. J. Digit. Curation,5
Inf. Technol. Dev.,5
Frontiers ICT,5
Frontiers Digit. Humanit.,5
Int. J. Comput. Process. Orient. Lang.,5
Int. J. Electron. Commer.,5
Inf. Organ.,5
INFORMS J. Optim.,5
Inf. Manag. Comput. Secur.,5
Frontiers Comput. Sci. China,5
Int. J. Digit. Multim. Broadcast.,5
IEEE Trans. Haptics,5
IBM Syst. J.,5
Hum. Comput. Interact.,5
IEEE Trans. Mol. Biol. Multi Scale Commun.,5
i-com,5
ICGA J.,5
J. Multivar. Anal.,5
Int. J. Secur. Priv. Pervasive Comput.,5
Int. J. Monit. Surveillance Technol. Res.,5
J. Bank. Financial Technol.,5
Int. J. RF Technol. Res. Appl.,5
Int. J. Soc. Comput. Cyber Phys. Syst.,5
J. ACM,5
Int. J. Metadata Semant. Ontologies,5
J. Comput. High. Educ.,5
Int. J. Green Comput.,5
Int. J. Manuf. Mater. Mech. Eng.,5
Int. J. Humanit. Arts Comput.,5
J. Log. Lang. Inf.,5
Int. J. Inf. Syst. Chang. Manag.,5
Int. J. Web Appl.,5
Scand. J. Inf. Syst.,5
J. Object Oriented Program.,5
Rev. Colomb. de Computación,5
Top. Cogn. Sci.,5
TFSS,5
Lit. Linguistic Comput.,5
Syst. Eng.,5
Swarm Intell.,5
Queueing Syst. Theory Appl.,5
Real Time Imaging,5
Trans. Data Priv.,5
Secur. Saf.,5
SIGACT News,5
Trans. Int. Soc. Music. Inf. Retr.,5
J. Rail Transp. Plan. Manag.,5
Oper. Res. Lett.,5
J. Smart Cities Soc.,5
Web Intell. Agent Syst.,5
ACM Trans. Quantum Comput.,4
Adv. Complex Syst.,4
Adv. Decis. Sci.,4
ACM Trans. Math. Softw.,4
Algorithmica,4
Concurr. Pract. Exp.,4
Appl. Ontology,4
Aust. Comput. J.,4
Encycl. Semantic Comput. Robotic Intell.,4
Electron. Notes Discret. Math.,4
Coll. Res. Libr.,4
Data Sci.,4
Educ. Inf.,4
Expert Syst. Appl. X,4
Complex Adapt. Syst. Model.,4
ACM Crossroads,4
Inf. Retr. J.,4
Inf. Comput. Secur.,4
Inf. Control.,4
Image Process. Line,4
Int. J. Adv. Pervasive Ubiquitous Comput.,4
Int. J. Adv. Oper. Manag.,4
Int. Arab. J. e Technol.,4
Int. J. Metaheuristics,4
Int. J. Math. Oper. Res.,4
J. Math. Model. Algorithms,4
Int. J. Granul. Comput. Rough Sets Intell. Syst.,4
Int. J. Knowl. Learn.,4
J. Heuristics,4
J. Integr. Des. Process. Sci.,4
Int. J. Unconv. Comput.,4
Int. J. Soc. Humanist. Comput.,4
J. Edge Comput.,4
Int. J. Wirel. Networks Broadband Technol.,4
Interact. Comput.,4
J. Aerosp. Comput. Inf. Commun.,4
Int. J. Synth. Emot.,4
J. Object Technol.,4
Oper. Res. Decis.,4
Model. Assist. Stat. Appl.,4
J. Res. Pract. Inf. Technol.,4
Monte Carlo Methods Appl.,4
Numerische Mathematik,4
J. Symb. Comput.,4
Networks,4
Photonic Netw. Commun.,4
Netw. Protoc. Algorithms,4
J. Spatial Inf. Sci.,4
Presence Teleoperators Virtual Environ.,4
Math. Comput. Sci.,4
SIAM J. Control. Optim.,4
Math. Control. Signals Syst.,4
SIAM J. Math. Anal.,4
login Usenix Mag.,4
Sci. Ann. Cuza Univ.,4
Scholarpedia,4
EURO J. Transp. Logist.,3
Enterp. Model. Inf. Syst. Archit.,3
EURO J. Comput. Optim.,3
EURASIP J. Bioinform. Syst. Biol.,3
Discret. Event Dyn. Syst.,3
Complex Syst. Model. Simul.,3
AIS Trans. Hum. Comput. Interact.,3
Cogn. Process.,3
Central Eur. J. Comput. Sci.,3
Comput. Educ. X Real.,3
Bull. EATCS,3
Bull. Comput. Data Sci.,3
BMC Genom.,3
Auton. Agents Multi Agent Syst.,3
Comput. Lang. Syst. Struct.,3
Arch. Formal Proofs,3
AKCE Int. J. Graphs Comb.,3
Constraints An Int. J.,3
Digit. Creativity,3
ACM Trans. Program. Lang. Syst.,3
ACM SIGCHI Bull.,3
ACM Trans. Parallel Comput.,3
ACM Trans. Evol. Learn. Optim.,3
ACM Trans. Asian Lang. Inf. Process.,3
ACM SIGMIS Database,3
Dagstuhl Artifacts Ser.,3
ACM Trans. Access. Comput.,3
Int. J. E Serv. Mob. Appl.,3
Games,3
Formal Methods Syst. Des.,3
Int. J. Comput. Support. Collab. Learn.,3
IACR Commun. Cryptol.,3
Fuzzy Optim. Decis. Mak.,3
Int. J. Artif. Intell. Robotics Res.,3
Int. J. Asian Lang. Process.,3
Int. J. Comput. Math. Comput. Syst. Theory,3
Int. J. Comput. Linguistics Chin. Lang. Process.,3
Int. J. Comput. Linguistics Appl.,3
Found. Trends Inf. Retr.,3
Int. J. E Entrepreneurship Innov.,3
Int. J. Bus. Data Commun. Netw.,3
Int. J. Adapt. Resilient Auton. Syst.,3
Int. J. Commun. Netw. Syst. Sci.,3
J. Lang. Model.,3
Int. J. Web Portals,3
J. Comput. Res. Dev.,3
Int. J. Inf. Technol. Commun. Convergence,3
J. Log. Algebraic Methods Program.,3
Int. J. Space Based Situated Comput.,3
J. Inf. Syst. Educ.,3
Int. J. Innov. Digit. Econ.,3
Int. J. Intell. Def. Support Syst.,3
Int. J. Technol. Diffusion,3
Intell. Inf. Manag.,3
J. Funct. Program.,3
J. Electron. Commer. Organ.,3
Int. J. Hum. Cap. Inf. Technol. Prof.,3
Int. J. High Speed Comput.,3
IPSJ Trans. Syst. LSI Des. Methodol.,3
J. Next Gener. Inf. Technol.,3
Int. J. Game Based Learn.,3
J. Artif. Gen. Intell.,3
J. Nat. Lang. Process.,3
Mach. Transl.,3
Libr. Trends,3
Quantum Inf. Comput.,3
Prod. Eng.,3
Process Sci.,3
LOG IN,3
SIGecom Exch.,3
Math. Methods Oper. Res.,3
Logist. Res.,3
J. Sched.,3
J. Quant. Linguistics,3
J. Priv. Confidentiality,3
Open J. Internet Things,3
Math. Comput.,3
Simul. Pract. Theory,3
JSIAM Lett.,3
Knowl. Acquis.,3
Lang. Linguistics Compass,3
J. Vis. Lang. Sentient Syst.,3
Bell Labs Tech. J.,2
ACM J. Educ. Resour. Comput.,2
CCF Trans. Netw.,2
Bull. IEEE Tech. Comm. Digit. Libr.,2
Braz. J. Inf. Syst.,2
ACM Trans. Storage,2
Ann. Softw. Eng.,2
ACIS Int. J. Comput. Inf. Sci.,2
Adv. Softw. Eng.,2
Eur. Trans. Telecommun.,2
Acta Informatica,2
Discret. Optim.,2
Commun. Netw.,2
Discret. Math.,2
Comput. Complex.,2
Comput. Sci. Res. Dev.,2
Dyn. Games Appl.,2
Comput. Entertain.,2
Comput. Networks ISDN Syst.,2
Comput. Geom.,2
Cryptologia,2
Int. J. Cyber Phys. Syst.,2
Int. J. Creative Interfaces Comput. Graph.,2
Int. J. Energy Optim. Eng.,2
INFORMS Trans. Educ.,2
IEEE Solid State Circuits Lett.,2
IEEE Trans. Comput. Intell. AI Games,2
IEEE Distributed Syst. Online,2
IEEE Concurr.,2
IEE Proc. Softw.,2
Hum. Comput.,2
IISE Trans.,2
Games Econ. Behav.,2
Inf. Secur. Tech. Rep.,2
Found. Trends Program. Lang.,2
Int. J. Adv. Corp. Learn.,2
Found. Trends Comput. Graph. Vis.,2
Int. J. Comput. Geom. Appl.,2
Int. J. Comput. Eng. Sci.,2
Int. J. Chemoinformatics Chem. Eng.,2
Int. J. Appl. Cryptogr.,2
Found. Trends Optim.,2
Int. J. Appl. Geospat. Res.,2
Int. J. Appl. Logist.,2
J. Appl. Probab.,2
J. Comput. Virol.,2
Int. J. Ultra Wideband Commun. Syst.,2
Int. J. Intell. Inf. Process.,2
J. Chin. Lang. Comput.,2
Int. J. Virtual Pers. Learn. Environ.,2
J. Community Informatics,2
J. Netw. Intell.,2
J. Comput. Mediat. Commun.,2
J. Comput. Phys. X,2
J. Membr. Comput.,2
Int. J. Web Sci.,2
Int. J. Inf. Process. Manag.,2
Int. J. Inf. Priv. Secur. Integr.,2
Int. J. Inf. Commun. Technol. Hum. Dev.,2
Int. J. Smart Educ. Urban Soc.,2
Int. J. Spatial Data Infrastructures Res.,2
Int. J. Online Mark.,2
J. Data Sci. Stat. Vis.,2
Int. J. Soc. Organ. Dyn. IT,2
J. Inf. Technol. Manag.,2
J. Cybersecur.,2
Int. J. Technoethics,2
J. Cryptol.,2
J. Innov. Digit. Ecosyst.,2
Int. J. Reconfigurable Comput.,2
Int. J. Serious Games,2
SIAM J. Discret. Math.,2
Micromachines,2
Smart Comput. Rev.,2
SICS Softw.-Intensive Cyber Phys. Syst.,2
Source Code Biol. Medicine,2
POLIBITS,2
Trans. Mass Data Anal. Images Signals,2
Reliab. Comput.,2
Sci. Iran.,2
Numer. Linear Algebra Appl.,2
Vis. Intell.,2
Open J. Databases,2
VLSI Design,2
Soc. Networks,2
SIAM J. Comput.,2
Softw. Eng. J.,2
J. Percept. Imaging,2
SIAM J. Appl. Algebra Geom.,2
World Digit. Libr.,2
Zeitschrift für Bibliothekswesen und Bibliographie (ZfBB),2
Theory Biosci.,2
Monde des Util. Anal. Données,2
RAIRO Theor. Informatics Appl.,2
Netw. Commun. Technol.,2
Math. Struct. Comput. Sci.,2
Public Libr. Q.,2
Logica Universalis,2
Publ.,2
SIGSAM Bull.,2
Cryptogr. Commun.,1
ACM Trans. Inf. Syst. Secur.,1
Distributed Comput.,1
ACM Trans. Speech Lang. Process.,1
Adv. Appl. Math.,1
Acta Informatica Pragensia,1
Comput. Vis. Graph. Image Process.,1
e Minds Int. J. Hum. Comput. Interact.,1
CVGIP Graph. Model. Image Process.,1
ACM SIGPLAN Notices,1
ACM SIGMOBILE Mob. Comput. Commun. Rev.,1
Exp. Math.,1
Dagstuhl Manifestos,1
ACM SIGLOG News,1
Data Qual.,1
Field Robotics,1
ACM SIGAPL APL Quote Quad,1
Datenschutz und Datensicherheit (dud),1
ACM Commun. Comput. Algebra,1
Digit. Threat. Res. Pract.,1
EAI Endorsed Trans. Future Intell. Educ. Environ.,1
Circuits Syst.,1
eLearn Mag.,1
Chic. J. Theor. Comput. Sci.,1
Commun. Res.,1
Bull. Symb. Log.,1
EAI Endorsed Trans. Self Adapt. Syst.,1
Comput. Games J.,1
EAI Endorsed Trans. Mob. Commun. Appl.,1
Electron. Trans. Artif. Intell.,1
Elektron. Rechenanlagen,1
EMISA Forum,1
Adv. Inf. Sci. Serv. Sci.,1
Comput. Graph. X,1
Aslib Proc.,1
Art Sci. Eng. Program.,1
Argument Comput.,1
Comput. Methods Appl. Math.,1
Appl. Categorical Struct.,1
Angew. Inform.,1
Am. J. Comput. Math.,1
EAI Endorsed Trans. Ambient Syst.,1
Adv. Oper. Res.,1
Adv. Numer. Anal.,1
Glottometrics,1
Formaliz. Math.,1
IEEE Parallel Distributed Technol. Syst. Appl.,1
IEEE Database Eng. Bull.,1
Found. Trends Electron. Des. Autom.,1
Game Stud.,1
Found. Trends Robotics,1
Found. Trends Hum. Comput. Interact.,1
Int. J. Digit. EVid.,1
Found. Trends Priv. Secur.,1
Found. Trends Netw.,1
Inform. Forsch. Entwickl.,1
Int. J. Comput. Sci. Educ. Sch.,1
Int. J. Concept. Struct. Smart Appl.,1
Int. J. Algebra Comput.,1
Int. J. Agent Technol. Syst.,1
Int. J. Cyber Ethics Educ.,1
Int. J. Agent Oriented Softw. Eng.,1
Int. J. 3 D Inf. Model.,1
Informationstechnik Tech. Inform.,1
IEEE Trans. Prof. Commun.,1
Inf. Wiss. Prax.,1
Inf. Manag. Comput. Security,1
Inf. Knowl. Syst. Manag.,1
IGTR,1
Int. J. Comput. Simul.,1
IEEE Trans. Syst. Sci. Cybern.,1
Int. J. Digit. Libr. Syst.,1
Int. J. Digit. Lit. Digit. Competence,1
J. Media Psychol. Theor. Methods Appl.,1
J. Electron. Publ.,1
Int. J. Signs Semiot. Syst.,1
Int. J. Nanotechnol. Mol. Comput.,1
Int. J. Multim. Intell. Secur.,1
J. Electron. Commer. Res.,1
J. Econ. Theory,1
J. Appl. Comput. Topol.,1
J. Clin. Bioinform.,1
Int. J. Shape Model.,1
Int. J. Serv. Stand.,1
J. Cell. Autom.,1
Int. J. Funct. Informatics Pers. Medicine,1
J. Graph Algorithms Appl.,1
J. Funct. Log. Program.,1
J. Numer. Cogn.,1
J. Lang. Technol. Comput. Linguistics,1
Int. J. Technol. Educ. Mark.,1
J. Geogr. Inf. Syst.,1
J. Integer Seq.,1
Int. J. Virtual Communities Soc. Netw.,1
Int. J. Interact. Commun. Syst. Technol.,1
Int. J. Intell. Mechatronics Robotics,1
Int. J. Knowl. Soc. Res.,1
Int. J. Intell. Games Simul.,1
Int. J. Virtual Real.,1
J. Math. Model. Algorithms Oper. Res.,1
J. Inf. Technol. Educ. Discuss. Cases,1
J. Inf. Technol. Educ.,1
Int. J. Soc. Netw. Min.,1
Int. J. Soc. Media Interact. Learn. Environ.,1
Int. J. Trust. Manag. Comput. Commun.,1
Int. J. Mob. Blended Learn.,1
J. Inf. Law Technol.,1
Int. J. Mob. Hum. Comput. Interact.,1
Random Struct. Algorithms,1
Kognitionswissenschaft,1
J. Web Sci.,1
J. Symb. Log.,1
Wirel. Sens. Netw.,1
Log. Methods Comput. Sci.,1
TGDK,1
OR Insight,1
